lake_id,lake_name,lake_area (m2),lake_elevation (m),lake_juris_name,lake_max_depth (m),lake_utm_east,lake_utm_north,survey_date,benthic_sample,fish_presence,max_survey_date,ramurasi
10014, ,6124,3444,KINGS_CANYON,6.5,342120,4121894,7/11/97,Yes,No,8/12/02,No
10015, ,91324,3425,KINGS_CANYON,21,342394,4121678,7/11/97,Yes,No,8/2/12,No
10020, ,126635,3328,KINGS_CANYON,12.5,344238,4114978,8/15/97,Yes,No,8/2/12,No
10030, ,214046,3381,KINGS_CANYON,8,345864,4119208,7/13/97,Yes,Yes,8/2/12,Yes
10034, ,195811,3519,KINGS_CANYON,13.5,350079,4118226,7/17/97,Yes,No,8/14/02,No
10035, ,269367,3517,KINGS_CANYON,14.5,349294,4117911,7/17/97,Yes,No,8/14/02,No
10042, ,84377,3533,KINGS_CANYON,12.5,349921,4116915,7/18/97,Yes,Yes,7/18/97,No
10045, ,35290,3542,KINGS_CANYON,7.75,351072,4116814,8/1/97,Yes,No,9/7/02,No
10050,EVOLUTION LAKE,248363,3308,KINGS_CANYON,13,349510,4114837,7/24/97,Yes,Yes,7/24/97,No
10053, ,43872,3312,KINGS_CANYON,7.5,345380,4114660,8/14/97,Yes,Yes,8/14/97,No
10057, ,28686,3395,KINGS_CANYON,9.5,344998,4113677,8/13/97,Yes,No,9/10/02,No
10061, ,102212,3297,KINGS_CANYON,15.5,346973,4112853,8/9/97,Yes,Yes,8/9/97,No
10062, ,110262,3298,KINGS_CANYON,15,347625,4112555,8/9/97,Yes,Yes,8/9/97,No
10064, ,60681,3322,KINGS_CANYON,15,347337,4112209,8/9/97,Yes,Yes,8/7/12,Yes
10065, ,38850,3432,KINGS_CANYON,16,346817,4111821,8/10/97,Yes,No,8/8/12,No
10070,SAPPHIRE LAKE,152316,3342,KINGS_CANYON,13,349548,4112745,7/26/97,Yes,Yes,7/26/97,No
10073, ,149705,3534,KINGS_CANYON,30,351165,4113634,7/26/97,Yes,No,9/8/02,No
